Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
Sovereign Debt Defaults,Portugal - 2013,Advanced economies; Portugal in default with Other_Official_Creditors,2013,2013,52712,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Puerto Rico - 2015,Advanced economies; Puerto Rico in default with FC_Bonds,2015,2021,59998,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Republic of Congo (Brazzaville) - 1970,"HIPC countries; Republic of Congo (Brazzaville) in default with Other_Official_Creditors, Private_Creditors, FC_Bank_Loans, Paris_Club, IBRD, IDA, China, FC_Bonds",1970,2021,7913.493,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Romania - 1961,Emerging/frontier markets; Romania in default with FC_Bonds,1961,1976,354.13588,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Romania - 1980,"Emerging/frontier markets; Romania in default with IMF, FC_Bank_Loans, Paris_Club, Other_Official_Creditors",1980,1983,2021.5,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Romania - 1986,"Emerging/frontier markets; Romania in default with IMF, FC_Bank_Loans, IBRD",1986,1987,1839.789782,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Romania - 1997,"Emerging/frontier markets; Romania in default with Other_Official_Creditors, Private_Creditors",1997,2021,269.7982537,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Rwanda - 1976,HIPC countries; Rwanda in default with Other_Official_Creditors,1976,1977,0.045291,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Rwanda - 1979,HIPC countries; Rwanda in default with Other_Official_Creditors,1979,1980,0.0158244,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Rwanda - 1984,HIPC countries; Rwanda in default with Other_Official_Creditors,1984,1984,0.476,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
