Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G3,Inter-state wars,Lopez,"Inter-state war: Argentina, Paraguay, Brazil",1864,1870,310000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Naval War,"Inter-state war: Chile, Peru, Spain",1865,1866,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Seven Weeks,"Inter-state war: Italy, Hesse Grand Ducal, Wuerttemburg, Bavaria, Austria, Germany, Mecklenburg Schwerin, Hesse Electoral, Saxony, Baden, Hanover",1866,1866,44100,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Franco-Prussian,"Inter-state war: Wuerttemburg, Baden, Germany, Bavaria, France",1870,1870,204313,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,First Central American,"Inter-state war: Guatemala, El Salvador",1876,1876,4000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Second Russo-Turkish,"Inter-state war: Turkey, Russia",1877,1878,285000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,War of the Pacific,"Inter-state war: Chile, Peru, Bolivia",1879,1883,13868,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Conquest of Egypt,"Inter-state war: Egypt, United Kingdom",1882,1882,10079,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Sino-French,"Inter-state war: France, China",1884,1885,12100,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Second Central American,"Inter-state war: El Salvador, Guatemala",1885,1885,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,First Sino-Japanese,"Inter-state war: China, Japan",1894,1895,15000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Greco-Turkish,"Inter-state war: Greece, Turkey",1897,1897,2000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Spanish-American,"Inter-state war: Spain, United States of America",1898,1898,3685,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Boxer Rebellion,"Inter-state war: Russia, Japan, United States of America, China, United Kingdom, France",1900,1900,3003,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Sino-Russian,"Inter-state war: Russia, China",1900,1900,4000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Russo-Japanese,"Inter-state war: Japan, Russia",1904,1905,151831,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Third Central American,"Inter-state war: Honduras, El Salvador, Guatemala",1906,1906,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Fourth Central American,"Inter-state war: Nicaragua, El Salvador, Honduras",1907,1907,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Second Spanish-Moroccan,"Inter-state war: Spain, Morocco",1909,1910,10000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Italian-Turkish,"Inter-state war: Italy, Turkey",1911,1912,20000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,First Balkan,"Inter-state war: Turkey, Greece, Bulgaria, Yugoslavia",1912,1913,82000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Second Balkan,"Inter-state war: Turkey, Yugoslavia, Greece, Bulgaria, Romania",1913,1913,60500,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,World War I,"Inter-state war: Yugoslavia, Russia, Bulgaria, United Kingdom, Japan, Portugal, Turkey, Belgium, Germany, Greece, Romania, Austria-Hungary, France, Italy, United States of America",1914,1917,8578031,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Estonian Liberation,"Inter-state war: Estonia, Finland, Russia",1918,1920,11750,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Latvian Liberation,"Inter-state war: Germany, Russia, Estonia, Latvia",1918,1919,13246,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Russo-Polish,"Inter-state war: Russia, Poland",1919,1920,100000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Hungarian Adversaries,"Inter-state war: Hungary, Czechoslovakia, Romania",1919,1919,11000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Second Greco-Turkish,"Inter-state war: Turkey, Greece",1919,1922,50000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Franco-Turkish,"Inter-state war: Turkey, France",1919,1921,40000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Lithuanian-Polish,"Inter-state war: Lithuania, Poland",1920,1920,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Manchurian,"Inter-state war: USSR, China",1929,1929,3200,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Second Sino-Japanese,"Inter-state war: Japan, China",1931,1933,60000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Chaco,"Inter-state war: Bolivia, Paraguay",1932,1935,92661,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Saudi-Yemeni,"Inter-state war: Saudi Arabia, Yemen Arab Republic",1934,1934,2100,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Conquest of Ethiopia,"Inter-state war: Italy, Ethiopia",1935,1936,20000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Third Sino-Japanese,"Inter-state war: China, Japan",1937,1941,1000000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Changkufeng,"Inter-state war: USSR, Japan",1938,1938,1726,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Nomonhan,"Inter-state war: USSR, Mongolia, Japan",1939,1939,28000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",1939,1939,16634907,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
