Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on,Comment
Crimean War,Combatants: Ottoman Empire and allies vs. RussiaLocation: Crimean Peninsula,1853,1856,"356,000-615,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Red Turban Rebellion (1854-1856),Combatants: Qing China vs. Red Turban rebelsLocation: China,1854,1856,"1,000,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Miao Rebellion,Combatants: Qing China vs. MiaoLocation: China,1854,1873,"4,900,000[citation needed]",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,Also known as the Qian rebellion
Punti-Hakka Clan Wars,Combatants: Hakka vs. PuntiLocation: China,1855,1868,"500,000-1,000,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Panthay Rebellion,Combatants: Qing China vs. HuiLocation: China,1856,1873,"890,000-1,000,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,- Also known as the Du Wenxiu Rebellion
Indian Rebellion of 1857,Combatants: Sepoy Mutineers vs. British East India CompanyLocation: India,1857,1858,"800,000-1,000,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[61] - Also known as the Sepoy Mutiny or the Indian First War of Independence
American Civil War,Combatants: Union States vs. Confederate StatesLocation: USA,1861,1865,"650,000-1,000,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[62][63][64]
Dungan Revolt,Combatants: Qing China vs. Hui vs. KashgariaLocation: China,1862,1877,"8,000,000-20,000,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,- Also known as the Tongzhi Hui Revolt
French intervention in Mexico,Combatants: Mexican Republicans vs. France and Mexican EmpireLocation: Mexico,1862,1867,"49,287+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[32]
Paraguayan War,Combatants: Triple alliance vs. ParaguayLocation: South America,1864,1870,"300,000-1,200,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[65] - Also known as the War of the Triple Alliance
Austro-Prussian War,Combatants: Austrian states vs. German statesLocation: Central Europe,1866,,"40,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Ten Years' War,Combatants: Spain vs. Cuba and Dominican volunteers[66]Location: Cuba,1868,1878,"241,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[32] - Also known as the Great War
Franco-Prussian War,Combatants: France vs. German statesLocation: France and Prussia,1870,1871,"433,571+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Conquest of the Desert,Combatants: Argentina vs. Mapuche peopleLocation: Patagonia,1870s,1884,"30,000-35,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Aceh War,Combatants: Kingdom of the Netherlands vs. Aceh SultanateLocation: Indonesia,1873,1914,"97,000-107,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[67] - Also known as the Infidel War
First Sino-Japanese War,Combatants: Qing China vs. JapanLocation: East Asia,1894,1895,"48,311+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Cuban War of Independence,Combatants: USA and Cuba vs. SpainLocation: Cuba,1895,1898,"362,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[32]
War of Canudos,Combatants: First Brazilian Republic vs. Canudos inhabitantsLocation: Brazil,1896,1897,"30,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Thousand Days' War,Combatants: Colombian Conservatives vs. Colombian LiberalsLocation: Colombia,1899,1902,"120,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[68]
Boxer Rebellion,Combatants: Boxers vs. Foreign powersLocation: China,1899,1901,"100,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
