Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
List of tsunamis,HAITI-HAITI & DOMINICAN REPUBLIC: 12/01/2010 21:53:10,Earthquake mag: 7; Max water height (m): 3.21; Magnitude (Iida): NADeaths: 7,2010-01-12,2010-01-12,25,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,JAPAN-RYUKYU ISLANDS: 26/02/2010 20:31:26.9,Earthquake mag: 7; Max water height (m): 0.1; Magnitude (Iida): NADeaths: NA,2010-02-26,2010-02-26,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,CHILE-CENTRAL CHILE: 27/02/2010 06:34:11.5,Earthquake mag: 8.8; Max water height (m): 29; Magnitude (Iida): NADeaths: 156,2010-02-27,2010-02-27,659,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,CHILE-CENTRAL CHILE: 11/03/2010 14:39:43.9,Earthquake mag: 6.9; Max water height (m): 0.14; Magnitude (Iida): NADeaths: NA,2010-03-11,2010-03-11,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDONESIA-SUMATRA: 06/04/2010 22:15:1.5,Earthquake mag: 7.8; Max water height (m): 0.44; Magnitude (Iida): NADeaths: NA,2010-04-06,2010-04-06,6,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"PERU-513 LAKE, HUALCAN GLACIER: 13/04/2010 NA:NA:NA",Earthquake mag: NA; Max water height (m): 23; Magnitude (Iida): NADeaths: 1,2010-04-13,2010-04-13,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"COOK ISLANDS-MANGAIA ISLAND, COOK ISLANDS: 13/04/2010 NA:NA:NA",Earthquake mag: NA; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,2010-04-13,2010-04-13,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"USA TERRITORY-SOUTH OF SARIGAN IS, N. MARIANA IS: 29/05/2010 11:46:50",Earthquake mag: NA; Max water height (m): 0.04; Magnitude (Iida): NADeaths: NA,2010-05-29,2010-05-29,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDIA-LITTLE NICOBAR ISLAND: 12/06/2010 19:26:50.4,Earthquake mag: 7.5; Max water height (m): 0.03; Magnitude (Iida): NADeaths: NA,2010-06-12,2010-06-12,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,VANUATU-VANUATU ISLANDS: 10/08/2010 05:23:44.9,Earthquake mag: 7.2; Max water height (m): 0.23; Magnitude (Iida): NADeaths: NA,2010-08-10,2010-08-10,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"USA TERRITORY-GUAM, MARIANA ISLANDS: 13/08/2010 21:19:33",Earthquake mag: 6.9; Max water height (m): 0.07; Magnitude (Iida): NADeaths: NA,2010-08-13,2010-08-13,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDONESIA-SUMATRA: 25/10/2010 14:42:22,Earthquake mag: 7.8; Max water height (m): 16.9; Magnitude (Iida): NADeaths: 431,2010-10-25,2010-10-25,358,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,JAPAN-BONIN ISLANDS: 21/12/2010 17:19:40.6,Earthquake mag: 7.4; Max water height (m): 0.13; Magnitude (Iida): NADeaths: NA,2010-12-21,2010-12-21,4,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,VANUATU-VANUATU ISLANDS: 25/12/2010 13:16:37,Earthquake mag: 7.3; Max water height (m): 4.1; Magnitude (Iida): NADeaths: NA,2010-12-25,2010-12-25,12,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,VANUATU-VANUATU ISLANDS: 09/01/2011 10:03:44.2,Earthquake mag: 6.5; Max water height (m): 0.03; Magnitude (Iida): NADeaths: NA,2011-01-09,2011-01-09,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,CHILE-CENTRAL CHILE: 11/02/2011 20:05:30.7,Earthquake mag: 6.8; Max water height (m): 0.15; Magnitude (Iida): NADeaths: NA,2011-02-11,2011-02-11,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NORWAY-SVALBARD: 17/02/2011 NA:NA:NA,Earthquake mag: NA; Max water height (m): 0.3; Magnitude (Iida): NADeaths: NA,2011-02-17,2011-02-17,0,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW ZEALAND-SOUTH ISLAND: 21/02/2011 23:51:42.3,Earthquake mag: 6.1; Max water height (m): 3.5; Magnitude (Iida): NADeaths: NA,2011-02-21,2011-02-21,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,JAPAN-HONSHU ISLAND: 09/03/2011 02:45:20.3,Earthquake mag: 7.5; Max water height (m): 0.6; Magnitude (Iida): NADeaths: NA,2011-03-09,2011-03-09,11,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,JAPAN-HONSHU ISLAND: 11/03/2011 05:46:24.1,Earthquake mag: 9.1; Max water height (m): 39.26; Magnitude (Iida): NADeaths: 18428,2011-03-11,2011-03-11,6289,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,JAPAN-E. COAST HONSHU ISLAND: 07/04/2011 14:32:43.2,Earthquake mag: 7.1; Max water height (m): 0.08; Magnitude (Iida): NADeaths: NA,2011-04-07,2011-04-07,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW CALEDONIA-LOYALTY ISLANDS: 10/05/2011 08:55:09,Earthquake mag: 6.8; Max water height (m): 0.03; Magnitude (Iida): NADeaths: NA,2011-05-10,2011-05-10,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"USA-ATKA, ALEUTIAN ISLANDS, AK: 24/06/2011 03:09:39.4",Earthquake mag: 7.3; Max water height (m): 0.1; Magnitude (Iida): NADeaths: NA,2011-06-24,2011-06-24,7,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"UK-PLYMOUTH, ENGLAND: 27/06/2011 NA:NA:NA",Earthquake mag: NA; Max water height (m): 0.4; Magnitude (Iida): NADeaths: NA,2011-06-27,2011-06-27,4,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW ZEALAND-KERMADEC ISLANDS: 06/07/2011 19:03:18.2,Earthquake mag: 7.6; Max water height (m): 1.2; Magnitude (Iida): NADeaths: NA,2011-07-06,2011-07-06,24,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,JAPAN-OFF EAST COAST OF HONSHU ISLAND: 10/07/2011 00:57:10.8,Earthquake mag: 7; Max water height (m): 0.09; Magnitude (Iida): NADeaths: NA,2011-07-10,2011-07-10,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"NORWAY-LYSEFJOREN, WESTERN NORWAY: 30/07/2011 05:30:NA",Earthquake mag: NA; Max water height (m): 1.5; Magnitude (Iida): NADeaths: NA,2011-07-30,2011-07-30,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"NORWAY-LYSEFJOREN, WESTERN NORWAY: 06/08/2011 12:55:NA",Earthquake mag: NA; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,2011-08-06,2011-08-06,0,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,VANUATU-VANUATU ISLANDS: 20/08/2011 16:55:2.5,Earthquake mag: 7.1; Max water height (m): 0.19; Magnitude (Iida): NADeaths: NA,2011-08-20,2011-08-20,4,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,VANUATU-VANUATU ISLANDS: 20/08/2011 18:19:23.5,Earthquake mag: 7; Max water height (m): 0.15; Magnitude (Iida): NADeaths: NA,2011-08-20,2011-08-20,1,DOI:10.7289/V5PN93H7,2023-02-02
