Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G81,Coup attempts,Venezuela 1960-09-12,Unsuccessful coup in Venezuela,1960-09-12,1960-09-12,0,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
G81,Coup attempts,Venezuela 1961-02-20,Unsuccessful coup in Venezuela,1961-02-20,1961-02-20,0,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
G81,Coup attempts,Venezuela 1961-06-26,Unsuccessful coup in Venezuela,1961-06-26,1961-06-26,0,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
G81,Coup attempts,Venezuela 1962-05-04,Unsuccessful coup in Venezuela,1962-05-04,1962-05-04,0,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
G81,Coup attempts,Venezuela 1962-06-02,Unsuccessful coup in Venezuela,1962-06-02,1962-06-02,0,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
G81,Coup attempts,Venezuela 1966-10-30,Unsuccessful coup in Venezuela,1966-10-30,1966-10-30,0,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
G81,Coup attempts,Venezuela 1992-02-04,Unsuccessful coup in Venezuela,1992-02-04,1992-02-04,0,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
G81,Coup attempts,Venezuela 1992-11-27,Unsuccessful coup in Venezuela,1992-11-27,1992-11-27,0,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
G81,Coup attempts,Venezuela 2002-04-12,Unsuccessful coup in Venezuela,2002-04-12,2002-04-12,0,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
G81,Coup attempts,Suriname 1980-02-25,Successful coup in Suriname,1980-02-25,1980-02-25,1,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
