Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
Major oil spills,Citgo refinery,"Location: United States, Lake Charles, Louisiana, Owner: NA",2006-06-19,,6500,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Prudhoe Bay oil spill,"Location: United States, Alaska North Slope, Alaska, Owner: NA",2006-03-02,,671,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Eider,"Location: Chile, Antofagasta, Owner: NA",2005-10-31,,200,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Bass Enterprises Oil Spill (Hurricane Katrina),"Location: United States, Cox Bay, Louisiana, Owner: NA",2005-08-30,,12000,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Shell (Hurricane Katrina),"Location: United States, Pilottown, Louisiana, Owner: Royal Dutch Shell",2005-08-30,,3400,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Chevron (Hurricane Katrina),"Location: United States, Empire, Louisiana, Owner: NA",2005-08-30,,3200,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Murphy Oil USA refinery spill (Hurricane Katrina),"Location: United States, Meraux and Chalmette, Louisiana, Owner: NA",2005-08-30,,3035,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Bass Enterprises (Hurricane Katrina),"Location: United States, Pointe à la Hache, Louisiana, Owner: NA",2005-08-30,,1500,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Chevron (Hurricane Katrina),"Location: United States, Port Fourchon, Louisiana, Owner: NA",2005-08-30,,170,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Venice Energy Services Company (Hurricane Katrina),"Location: United States, Venice, Louisiana, Owner: NA",2005-08-30,,81,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Shell Pipeline Oil (Hurricane Katrina),"Location: United States, Nairn, Louisiana, Owner: Royal Dutch Shell",2005-08-30,,44,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Sundown Energy (Hurricane Katrina),"Location: United States, West Potash, Louisiana, Owner: NA",2005-08-30,,42,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,MV Selendang Ayu,"Location: United States, Unalaska Island, Alaska, Owner: NA",2004-12-08,,1560,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Athos 1,"Location: United States, Delaware River, Paulsboro, New Jersey, Owner: NA",2004-11-26,,845.5,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Taylor oil spill,"Location: United States, Gulf of Mexico near Louisiana, Owner: Taylor Energy",2004-09-16,present,245485,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,"MP-69 Nakika 18"" & MP-151 Nakika 18"" pipeline (Hurricane Ivan)","Location: United States, Louisiana, Owner: NA",2004-09-16,2004-10-06,618,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
