Category ID,Category,Event,Event description,country,ccode,type,src
G3,Inter-state wars,Lithuanian-Polish,"Inter-state war: Lithuania, Poland",Poland,POL,Polity,data
G3,Inter-state wars,Lithuanian-Polish,"Inter-state war: Lithuania, Poland",Lithuania,LIT,Polity,data
G3,Inter-state wars,Lopez,"Inter-state war: Argentina, Paraguay, Brazil",Brazil,BRA,Polity,data
G3,Inter-state wars,Lopez,"Inter-state war: Argentina, Paraguay, Brazil",Paraguay,PAR,Polity,data
G3,Inter-state wars,Lopez,"Inter-state war: Argentina, Paraguay, Brazil",Argentina,ARG,Polity,data
G3,Inter-state wars,Manchurian,"Inter-state war: USSR, China",Russia,RUS,Polity,data
G3,Inter-state wars,Manchurian,"Inter-state war: USSR, China",China,CHN,Polity,data
G3,Inter-state wars,Mexican-American,"Inter-state war: Mexico, United States of America",United States of America,USA,Polity,data
G3,Inter-state wars,Mexican-American,"Inter-state war: Mexico, United States of America",Mexico,MEX,Polity,data
G3,Inter-state wars,Naval War,"Inter-state war: Chile, Peru, Spain",Peru,PER,Polity,data
G3,Inter-state wars,Naval War,"Inter-state war: Chile, Peru, Spain",Chile,CHL,Polity,data
G3,Inter-state wars,Naval War,"Inter-state war: Chile, Peru, Spain",Spain,SPN,Polity,data
G3,Inter-state wars,Neapolitan,"Inter-state war: Two Sicilies, Sardinia/Piedmont",Italy,ITA,Polity,data
G3,Inter-state wars,Neapolitan,"Inter-state war: Two Sicilies, Sardinia/Piedmont",Two Sicilies,SIC,Polity,data
G3,Inter-state wars,Nomonhan,"Inter-state war: USSR, Mongolia, Japan",Russia,RUS,Polity,data
G3,Inter-state wars,Nomonhan,"Inter-state war: USSR, Mongolia, Japan",Mongolia,MON,Polity,data
G3,Inter-state wars,Nomonhan,"Inter-state war: USSR, Mongolia, Japan",Japan,JPN,Polity,data
G3,Inter-state wars,Off-shore Islands,"Inter-state war: China, Taiwan",China,CHN,Polity,data
G3,Inter-state wars,Off-shore Islands,"Inter-state war: China, Taiwan",Taiwan,TAW,Polity,data
G3,Inter-state wars,Roman Republic,"Inter-state war: France, Two Sicilies, Austria, Papal States",France,FRN,Polity,data
G3,Inter-state wars,Roman Republic,"Inter-state war: France, Two Sicilies, Austria, Papal States",Austria-Hungary,AUH,Polity,data
G3,Inter-state wars,Roman Republic,"Inter-state war: France, Two Sicilies, Austria, Papal States",Papal States,PAP,Polity,data
G3,Inter-state wars,Roman Republic,"Inter-state war: France, Two Sicilies, Austria, Papal States",Two Sicilies,SIC,Polity,data
G3,Inter-state wars,Russo-Finnish,"Inter-state war: Finland, USSR",Russia,RUS,Polity,data
G3,Inter-state wars,Russo-Finnish,"Inter-state war: Finland, USSR",Finland,FIN,Polity,data
G3,Inter-state wars,Russo-Japanese,"Inter-state war: Japan, Russia",Russia,RUS,Polity,data
G3,Inter-state wars,Russo-Japanese,"Inter-state war: Japan, Russia",Japan,JPN,Polity,data
G3,Inter-state wars,Russo-Polish,"Inter-state war: Russia, Poland",Poland,POL,Polity,data
G3,Inter-state wars,Russo-Polish,"Inter-state war: Russia, Poland",Russia,RUS,Polity,data
G3,Inter-state wars,Saudi-Yemeni,"Inter-state war: Saudi Arabia, Yemen Arab Republic",Saudi Arabia,SAU,Polity,data
G3,Inter-state wars,Saudi-Yemeni,"Inter-state war: Saudi Arabia, Yemen Arab Republic",Yemen Arab Republic,YAR,Polity,data
G3,Inter-state wars,Second Balkan,"Inter-state war: Turkey, Yugoslavia, Greece, Bulgaria, Romania",Yugoslavia,YUG,Polity,data
G3,Inter-state wars,Second Balkan,"Inter-state war: Turkey, Yugoslavia, Greece, Bulgaria, Romania",Greece,GRC,Polity,data
G3,Inter-state wars,Second Balkan,"Inter-state war: Turkey, Yugoslavia, Greece, Bulgaria, Romania",Bulgaria,BUL,Polity,data
G3,Inter-state wars,Second Balkan,"Inter-state war: Turkey, Yugoslavia, Greece, Bulgaria, Romania",Romania,ROM,Polity,data
G3,Inter-state wars,Second Balkan,"Inter-state war: Turkey, Yugoslavia, Greece, Bulgaria, Romania",Turkey,TUR,Polity,data
G3,Inter-state wars,Second Central American,"Inter-state war: El Salvador, Guatemala",Guatemala,GUA,Polity,data
G3,Inter-state wars,Second Central American,"Inter-state war: El Salvador, Guatemala",El Salvador,SAL,Polity,data
G3,Inter-state wars,Second Greco-Turkish,"Inter-state war: Turkey, Greece",Greece,GRC,Polity,data
G3,Inter-state wars,Second Greco-Turkish,"Inter-state war: Turkey, Greece",Turkey,TUR,Polity,data
G3,Inter-state wars,Second Kashmir,"Inter-state war: India, Pakistan",India,IND,Polity,data
G3,Inter-state wars,Second Kashmir,"Inter-state war: India, Pakistan",Pakistan,PAK,Polity,data
G3,Inter-state wars,"Second Laotian, Phase 2","Inter-state war: United States of America, Thailand, Laos, Vietnam",United States of America,USA,Polity,data
G3,Inter-state wars,"Second Laotian, Phase 2","Inter-state war: United States of America, Thailand, Laos, Vietnam",Thailand,THI,Polity,data
G3,Inter-state wars,"Second Laotian, Phase 2","Inter-state war: United States of America, Thailand, Laos, Vietnam",Laos,LAO,Polity,data
G3,Inter-state wars,"Second Laotian, Phase 2","Inter-state war: United States of America, Thailand, Laos, Vietnam",Vietnam,DRV,Polity,data
G3,Inter-state wars,"Second Ogaden War, Phase 2","Inter-state war: Ethiopia, Cuba, Somalia",Cuba,CUB,Polity,data
G3,Inter-state wars,"Second Ogaden War, Phase 2","Inter-state war: Ethiopia, Cuba, Somalia",Somalia,SOM,Polity,data
G3,Inter-state wars,"Second Ogaden War, Phase 2","Inter-state war: Ethiopia, Cuba, Somalia",Ethiopia,ETH,Polity,data
G3,Inter-state wars,Second Russo-Turkish,"Inter-state war: Turkey, Russia",Russia,RUS,Polity,data
G3,Inter-state wars,Second Russo-Turkish,"Inter-state war: Turkey, Russia",Turkey,TUR,Polity,data
G3,Inter-state wars,Second Schleswig-Holstein,"Inter-state war: Germany, Denmark, Austria",Germany,GMY,Polity,data
G3,Inter-state wars,Second Schleswig-Holstein,"Inter-state war: Germany, Denmark, Austria",Austria-Hungary,AUH,Polity,data
G3,Inter-state wars,Second Schleswig-Holstein,"Inter-state war: Germany, Denmark, Austria",Denmark,DEN,Polity,data
G3,Inter-state wars,Second Sino-Japanese,"Inter-state war: Japan, China",China,CHN,Polity,data
G3,Inter-state wars,Second Sino-Japanese,"Inter-state war: Japan, China",Japan,JPN,Polity,data
G3,Inter-state wars,Second Spanish-Moroccan,"Inter-state war: Spain, Morocco",Spain,SPN,Polity,data
G3,Inter-state wars,Second Spanish-Moroccan,"Inter-state war: Spain, Morocco",Morocco,MOR,Polity,data
G3,Inter-state wars,Seven Weeks,"Inter-state war: Italy, Hesse Grand Ducal, Wuerttemburg, Bavaria, Austria, Germany, Mecklenburg Schwerin, Hesse Electoral, Saxony, Baden, Hanover",Hanover,HAN,Polity,data
G3,Inter-state wars,Seven Weeks,"Inter-state war: Italy, Hesse Grand Ducal, Wuerttemburg, Bavaria, Austria, Germany, Mecklenburg Schwerin, Hesse Electoral, Saxony, Baden, Hanover",Bavaria,BAV,Polity,data
G3,Inter-state wars,Seven Weeks,"Inter-state war: Italy, Hesse Grand Ducal, Wuerttemburg, Bavaria, Austria, Germany, Mecklenburg Schwerin, Hesse Electoral, Saxony, Baden, Hanover",Germany,GMY,Polity,data
G3,Inter-state wars,Seven Weeks,"Inter-state war: Italy, Hesse Grand Ducal, Wuerttemburg, Bavaria, Austria, Germany, Mecklenburg Schwerin, Hesse Electoral, Saxony, Baden, Hanover",Baden,BAD,Polity,data
G3,Inter-state wars,Seven Weeks,"Inter-state war: Italy, Hesse Grand Ducal, Wuerttemburg, Bavaria, Austria, Germany, Mecklenburg Schwerin, Hesse Electoral, Saxony, Baden, Hanover",Saxony,SAX,Polity,data
G3,Inter-state wars,Seven Weeks,"Inter-state war: Italy, Hesse Grand Ducal, Wuerttemburg, Bavaria, Austria, Germany, Mecklenburg Schwerin, Hesse Electoral, Saxony, Baden, Hanover",Wuerttemburg,WRT,Polity,data
G3,Inter-state wars,Seven Weeks,"Inter-state war: Italy, Hesse Grand Ducal, Wuerttemburg, Bavaria, Austria, Germany, Mecklenburg Schwerin, Hesse Electoral, Saxony, Baden, Hanover",Hesse Electoral,HSE,Polity,data
G3,Inter-state wars,Seven Weeks,"Inter-state war: Italy, Hesse Grand Ducal, Wuerttemburg, Bavaria, Austria, Germany, Mecklenburg Schwerin, Hesse Electoral, Saxony, Baden, Hanover",Hesse Grand Ducal,HSG,Polity,data
G3,Inter-state wars,Seven Weeks,"Inter-state war: Italy, Hesse Grand Ducal, Wuerttemburg, Bavaria, Austria, Germany, Mecklenburg Schwerin, Hesse Electoral, Saxony, Baden, Hanover",Mecklenburg Schwerin,MEC,Polity,data
G3,Inter-state wars,Seven Weeks,"Inter-state war: Italy, Hesse Grand Ducal, Wuerttemburg, Bavaria, Austria, Germany, Mecklenburg Schwerin, Hesse Electoral, Saxony, Baden, Hanover",Austria-Hungary,AUH,Polity,data
G3,Inter-state wars,Seven Weeks,"Inter-state war: Italy, Hesse Grand Ducal, Wuerttemburg, Bavaria, Austria, Germany, Mecklenburg Schwerin, Hesse Electoral, Saxony, Baden, Hanover",Italy,ITA,Polity,data
G3,Inter-state wars,Sinai War,"Inter-state war: France, Israel, Egypt, United Kingdom",United Kingdom,UKG,Polity,data
G3,Inter-state wars,Sinai War,"Inter-state war: France, Israel, Egypt, United Kingdom",France,FRN,Polity,data
G3,Inter-state wars,Sinai War,"Inter-state war: France, Israel, Egypt, United Kingdom",Egypt,EGY,Polity,data
G3,Inter-state wars,Sinai War,"Inter-state war: France, Israel, Egypt, United Kingdom",Israel,ISR,Polity,data
G3,Inter-state wars,Sino-French,"Inter-state war: France, China",France,FRN,Polity,data
G3,Inter-state wars,Sino-French,"Inter-state war: France, China",China,CHN,Polity,data
G3,Inter-state wars,Sino-Russian,"Inter-state war: Russia, China",Russia,RUS,Polity,data
G3,Inter-state wars,Sino-Russian,"Inter-state war: Russia, China",China,CHN,Polity,data
G3,Inter-state wars,Sino-Vietnamese Border War,"Inter-state war: Vietnam, China",China,CHN,Polity,data
G3,Inter-state wars,Sino-Vietnamese Border War,"Inter-state war: Vietnam, China",Vietnam,DRV,Polity,data
G3,Inter-state wars,Sino-Vietnamese Punitive,"Inter-state war: China, Vietnam",China,CHN,Polity,data
G3,Inter-state wars,Sino-Vietnamese Punitive,"Inter-state war: China, Vietnam",Vietnam,DRV,Polity,data
G3,Inter-state wars,Six Day War,"Inter-state war: Israel, Egypt, Jordan, Syria",Egypt,EGY,Polity,data
