Category ID,Category,Event,Event description,Country,
G15,Structural failures and collapses,Big Valley Jamboree stage collapse,"Stage - Camrose, Alberta, Canada",Canada,
G15,Structural failures and collapses,Jaya Supermarket,"Supermarket - Petaling Jaya, Malaysia",Malaysia,
G15,Structural failures and collapses,Kota Chambal Bridge collapse,"Bridge - Kota, India",India,
G15,Structural failures and collapses,Kep building collapse,"Tourist guesthouse under construction - Kep, Cambodia",Cambodia,
G15,Structural failures and collapses,Palmerah West Jakarta four-story building collapse,"Building - Jakarta, Indonesia",Indonesia,
G15,Structural failures and collapses,Collapse of Xinjia Express Hotel,"Hotel - Quanzhou, Fujian, China",China,
G15,Structural failures and collapses,Caprigliola bridge collapse,"Bridge - Caprigliola, Tuscany, Italy",Italy,
G15,Structural failures and collapses,Lecheng Bridge,"1543-c. 1700 bridge as a tourist attraction - Sanxi, Jingde County, Anhui, China",China,
G15,Structural failures and collapses,Zhenhai Bridge,"1536-1699 bridge as a tourist attraction - Huangshan City, Anhui, China",China,
G15,Structural failures and collapses,Collapse of Juxian Restaurant,"Building - Linfen City, Shanxi, China",China,
G15,Structural failures and collapses,Nest on Wonderland,"Apartment building under construction - London, Ontario, Canada",Canada,
G15,Structural failures and collapses,Arecibo Telescope,"Telescope - Arecibo, Puerto Rico",USA,
G15,Structural failures and collapses,Brindisi warehouse collapse,"Warehouse - San Michele Salentino, Apulia, Italy",Italy,
G15,Structural failures and collapses,Cairo apartment collapse,"Apartment building - Gesr El-Suez, Cairo, Egypt",Egypt,
G15,Structural failures and collapses,2021 Bangkok residence collapse,"Residence building - Kritsadanakhon 31 Village, Bangkok, Thailand",Thailand,
G15,Structural failures and collapses,Mexico City Metro overpass collapse,"Overpass - Tláhuac, Mexico City, Mexico",Mexico,
G15,Structural failures and collapses,Gwangju building collapse,"Collapsed onto a bus during demolition - Gwangju, South Korea",South Korea,
G15,Structural failures and collapses,Antwerp building collapse,"Primary school under construction - Jos Smolderenstraat, Antwerp, Belgium",Belgium,
G15,Structural failures and collapses,Destruction of al-Jalaa Building,Building - Gaza City,Palestine,Israel
G15,Structural failures and collapses,Rucheng residential building collapse,"Residential building - Rucheng County, Hunan, China",China,
G15,Structural failures and collapses,Champlain Towers South,"Condominium tower - Surfside, Florida, US",US,
G15,Structural failures and collapses,Sangam Bridge,"Bridge - Arunachal Pradesh, India",India,
G15,Structural failures and collapses,Collapse of Siji Kaiyuan Hotel,"Hotel annex - Suzhou, Jiangsu Province, China",China,
G15,Structural failures and collapses,Kelowna crane collapse,"Construction crane - Kelowna, British Columbia, Canada",Canada,
G15,Structural failures and collapses,Font Nova residential development apartment collapse,"Residential building - Peñíscola, Valencian Community, Spain",Spain,
G15,Structural failures and collapses,AdventHealth Orlando parking garage crane collapse,"Parking garage - Orlando, Florida, United States",United States,
G15,Structural failures and collapses,Lagos high-rise,"Apartments (under construction) - Ikoyi, Lagos, Nigeria",Nigeria,
G15,Structural failures and collapses,Nemiga pedestrian bridge,"Bridge - Minsk, Belarus",Belarus,
G15,Structural failures and collapses,Gwangju construction site collapse,"Wall (under construction) - Gwangju, South Korea",South Korea,
G15,Structural failures and collapses,Fern Hollow Bridge Collapse,"Bridge - Pittsburgh, Pennsylvania, United States",United States,
G15,Structural failures and collapses,Alfamart Gambut Collapse,"Building - Banjar Regency, South Kalimantan, Indonesia",Indonesia,
G15,Structural failures and collapses,Changsha building collapse,"Building - Changsha, Hunan, China",China,
G15,Structural failures and collapses,Abadan Metropol building collapse,"Building - Abadan, Iran",Iran,
G15,Structural failures and collapses,Tretten Bridge collapse (no),"Bridge, with trusses and glued laminated timber - Øyer, Norway",Norway,
G15,Structural failures and collapses,2022 Morbi bridge collapse,"Bridge - Morbi, Gujarat, India",India,
G15,Structural failures and collapses,AquaDom Collapse,"Aquarium - Berlin, Germany",Germany,
G15,Structural failures and collapses,Charlotte scaffolding collapse,"Construction site - Charlotte, North Carolina",USA,
