Category ID,Category,Event,Event description,country,ccode,type
G3,Inter-state wars,Nomonhan,"Inter-state war: USSR, Mongolia, Japan",Mongolia,MNG,Both
G3,Inter-state wars,Nomonhan,"Inter-state war: USSR, Mongolia, Japan",USSR,SUN,Both
G3,Inter-state wars,Off-shore Islands,"Inter-state war: China, Taiwan",China,CHN,Polity
G3,Inter-state wars,Off-shore Islands,"Inter-state war: China, Taiwan",Taiwan,TWN,Polity
G3,Inter-state wars,Roman Republic,"Inter-state war: France, Two Sicilies, Austria, Papal States",France,FRA,Polity
G3,Inter-state wars,Roman Republic,"Inter-state war: France, Two Sicilies, Austria, Papal States",Italy,ITA,Geography
G3,Inter-state wars,Russo-Finnish,"Inter-state war: Finland, USSR",Finland,FIN,Both
G3,Inter-state wars,Russo-Finnish,"Inter-state war: Finland, USSR",USSR,SUN,Polity
G3,Inter-state wars,Russo-Japanese,"Inter-state war: Japan, Russia",China,CHN,Geography
G3,Inter-state wars,Russo-Japanese,"Inter-state war: Japan, Russia",Japan,JPN,Both
G3,Inter-state wars,Russo-Japanese,"Inter-state war: Japan, Russia",Russian Federation (the),RUS,Polity
G3,Inter-state wars,Russo-Polish,"Inter-state war: Russia, Poland",Poland,POL,Both
G3,Inter-state wars,Russo-Polish,"Inter-state war: Russia, Poland",Russian Federation (the),RUS,Both
G3,Inter-state wars,Saudi-Yemeni,"Inter-state war: Saudi Arabia, Yemen Arab Republic",Saudi Arabia,SAU,Both
G3,Inter-state wars,Saudi-Yemeni,"Inter-state war: Saudi Arabia, Yemen Arab Republic",Yemen,YEM,Geography
G3,Inter-state wars,Second Balkan,"Inter-state war: Turkey, Yugoslavia, Greece, Bulgaria, Romania",Bulgaria,BGR,Both
G3,Inter-state wars,Second Balkan,"Inter-state war: Turkey, Yugoslavia, Greece, Bulgaria, Romania",Greece,GRC,Both
G3,Inter-state wars,Second Balkan,"Inter-state war: Turkey, Yugoslavia, Greece, Bulgaria, Romania",Ottoman Empire,OTO,Polity
G3,Inter-state wars,Second Balkan,"Inter-state war: Turkey, Yugoslavia, Greece, Bulgaria, Romania",Romania,ROU,Both
G3,Inter-state wars,Second Balkan,"Inter-state war: Turkey, Yugoslavia, Greece, Bulgaria, Romania",Serbia,SRB,Both
G3,Inter-state wars,Second Central American,"Inter-state war: El Salvador, Guatemala",El Salvador,SLV,Both
G3,Inter-state wars,Second Central American,"Inter-state war: El Salvador, Guatemala",Guatemala,GTM,Both
G3,Inter-state wars,Second Greco-Turkish,"Inter-state war: Turkey, Greece",Greece,GRC,Polity
G3,Inter-state wars,Second Greco-Turkish,"Inter-state war: Turkey, Greece",Türkiye,TUR,Both
