Category ID,Category,Event,Event description,CountryCodes,,,,,,,,,
G65,Intra-state (civil) wars,Third Burundi War of 2001-2003,"Civil war - for central control: Burundi, Rwanda vs. FNL and FDD",Burundi,Rwanda,,,,,,,,
G65,Intra-state (civil) wars,South Sudan War of 2013 to present,"Civil war - for central control: Uganda, South Sudan vs. SPLM-IO",Uganda,South Sudan,,,,,,,,
G65,Intra-state (civil) wars,Greek Civil War round 3 of 1946-1949,"Civil war - for central control: United Kingdom, Greece vs. Communists",United Kingdom,Greece,,,,,,,,
G65,Intra-state (civil) wars,First Philippines - NPA War of 1981-1992,Civil war - for central control: Philippines vs. NPA,Philippines,,,,,,,,,
G65,Intra-state (civil) wars,Cote d'Ivoire Military War of 2002-2003,"Civil war - for central control: France, Cote d'Ivoire vs. New Forces",France,Cote d'Ivoire,,,,,,,,
G65,Intra-state (civil) wars,First Chad Rebellion of 1968-1971,"Civil war - for central control: France, Chad vs. FROLINAT",France,Chad,,,,,,,,
G65,Intra-state (civil) wars,Hama Uprising of 1982,Civil war - for central control: Syria vs. Muslim Brotherhood,Syria,,,,,,,,,
G65,Intra-state (civil) wars,Algeria's Islamic Front War of 1992-2002,Civil war - for central control: Algeria vs. Islamic Front,Algeria,,,,,,,,,
G65,Intra-state (civil) wars,Syrian Arab Spring War of 2011 to present,Civil war - for central control: Syria vs. Syrian Rebel Groups,Syria,,,,,,,,,
G65,Intra-state (civil) wars,Second Burmese War of 1958-1960,Civil war - for central control: Burma vs. Karens & Communists,Burma,,,,,,,,,
G65,Intra-state (civil) wars,Fourth Lebanese War of 1983-1984,"Civil war - for central control: United States, France, Lebanon vs. Iran, Syria, Shi'ites and Druzes",United States,France,Lebanon,Iran,Syria,,,,,
G65,Intra-state (civil) wars,Chad-United Opposition War of 2005-2008,"Civil war - for central control: France, Chad vs. United Opposition",France,Chad,,,,,,,,
G65,Intra-state (civil) wars,Angolan War of  the Cities of 1992-1994,Civil war - for central control: Angola vs. UNITA,Angola,,,,,,,,,
G65,Intra-state (civil) wars,Third Somalia War of 2006-2012,"Civil war - for central control: United States, Uganda, Kenya, Burundi, Somalia, Ethiopia vs. Eritrea, ICU",United States,Uganda,Kenya,Burundi,Somalia,Ethiopia,Eritrea,,,
G65,Intra-state (civil) wars,Chad-Togoimi Revolt of 1998-2000,Civil war - for central control: Chad vs. MDD & MDJT,Chad,,,,,,,,,
G65,Intra-state (civil) wars,Second Burundi War of 1993-1998,Civil war - for central control: Burundi vs. Tutsi,Burundi,,,,,,,,,
G65,Intra-state (civil) wars,Chilean Congressist War of 1891,Civil war - for central control: Chile vs. Congressists,Chile,,,,,,,,,
G65,Intra-state (civil) wars,Second Cote d'Ivoire War of 2011,"Civil war - for central control: Cote d'Ivoire vs. France, New Forces",Cote d'Ivoire,France,,,,,,,,
G65,Intra-state (civil) wars,Third DRC Rebellion of 1964-1965,Civil war - for central control: Democratic Republic of the Congo vs. CNL,Democratic Republic of the Congo,,,,,,,,,
G65,Intra-state (civil) wars,Syrian Arab Spring War of 2011 to present,Civil war - for central control: Iran vs. ,Iran,Syria,,,,,,,,
G65,Intra-state (civil) wars,Third Rwanda War of 1997-1998,Civil war - for central control: Rwanda vs. ALiR,Rwanda,,,,,,,,,
G65,Intra-state (civil) wars,Boko Haram in Nigeria of 2013 - ongoing,Civil war - for central control: Nigeria vs. Boko Haram,Nigeria,,,,,,,,,
G65,Intra-state (civil) wars,Boko Haram in Nigeria of 2013 - present,"Civil war - for central control: Niger, Cameroon, Chad vs. ",Niger,Cameroon,Chad,,,,,,,
G65,Intra-state (civil) wars,Zaire - AFDL War of 1996-1997,"Civil war - for central control: Zaire vs. Uganda, Burundi, Rwanda, Angola, AFDL Coalition",Zaire,Uganda,Burundi,Rwanda,Angola,,,,,
G65,Intra-state (civil) wars,Fourth Rwanda War of 2001,Civil war - for central control: Rwanda vs. ALiR,Rwanda,,,,,,,,,
G65,Intra-state (civil) wars,Guinea-Bissau Military War of 1998-1999,"Civil war - for central control: Guinea-Bissau, Senegal, Guinea vs. Mane Junta",Guinea-Bissau,Senegal,Guinea,,,,,,,
G65,Intra-state (civil) wars,Africa's World War of 1998-2002,"Civil war - for central control: Central African Republic, Chad, Democratic Republic of the Congo, Angola, Zimbabwe, Namibia, Sudan vs. Rwanda, Burundi, Uganda, RCD and MLC",Central African Republic,Chad,Democratic Republic of the Congo,Angola,Zimbabwe,Namibia,Sudan,Rwanda,Burundi,Uganda
G65,Intra-state (civil) wars,Third Al-Houthi Rebellion of 2014-2015,Civil war - for central control: Yemen vs. Ansar Allah,Yemen,,,,,,,,,
G65,Intra-state (civil) wars,First Al-Houthi Rebellion of 2004-2005,Civil war - for central control: Yemen vs. Houthi Rebels,Yemen,,,,,,,,,
G65,Intra-state (civil) wars,Dominican Republic War of 1965,"Civil war - for central control: United States of America, Dominican Republic vs. Constitutionalists",United States,Dominican Republic,,,,,,,,
G65,Intra-state (civil) wars,Third Burmese War of 1965-1993,"Civil war - for central control: Burma vs. China, Karens & Communists",Burma,China,,,,,,,,
G65,Intra-state (civil) wars,First Khmer Rouge War of 1971-1975,"Civil war - for central control: United States of America, Cambodia, Republic of Vietnam vs. Democratic Republic of Vietnam, Khmer Rouge",United States,Vietnam,Cambodia,,,,,,,
G65,Intra-state (civil) wars,Argentine Leftists War of 1975-1976,Civil war - for central control: Argentina vs. Monteneros and ERP,Argentina,,,,,,,,,
G65,Intra-state (civil) wars,Second Philippine - NPA War of 2005-2006,Civil war - for central control: Philippines vs. NPA,Philippines,,,,,,,,,
G65,Intra-state (civil) wars,First Yemeni Imamate  Rebellion of 1890-1892,Civil war - over local issues: Ottoman Empire vs. Yemen,Ottoman,Yemen,,,,,,,,
G65,Intra-state (civil) wars,Ali Pasha Rebellion of 1820-1822,Civil war - over local issues: Ottoman Empire vs. Ali Pasha Loyalists,Ottoman,,,,,,,,,
G65,Intra-state (civil) wars,Liangshan Rebellion of 1955-1957,Civil war - over local issues: China vs. Liangshan Rebels,China,,,,,,,,,
G65,Intra-state (civil) wars,First Caucasus War of 1818-1822,Civil war - over local issues: Russia vs. Caucasus Rebels,Russia,,,,,,,,,
G65,Intra-state (civil) wars,Naga Insurgency phase 1 of 1956-1957,Civil war - over local issues: India vs. Naga Home Guard,India,,,,,,,,,
G65,Intra-state (civil) wars,Contestado Rebellion of 1914-1915,Civil war - over local issues: Brazil vs. Fanaticos,Brazil,,,,,,,,,
G65,Intra-state (civil) wars,First Chechnya War of 1994-1996,Civil war - over local issues: Russia vs. Chechnya,Russia,,,,,,,,,
G65,Intra-state (civil) wars,Greek Independence War of 1821-1828,"Civil war - over local issues: Ottoman Empire vs. United Kingdom, France, Russia, Greeks",Ottoman,United Kingdom,France,Russia,Greece,,,,,
G65,Intra-state (civil) wars,Seventh Iraqi Kurds War of 1996,Civil war - over local issues: Iraq vs. PUK and INC,Iraq,,,,,,,,,
G65,Intra-state (civil) wars,First Murid War of 1830-1832,Civil war - over local issues: Russia vs. Murids,Russia,,,,,,,,,
G65,Intra-state (civil) wars,First Albanian Revolt of 1830-1832,Civil war - over local issues: Ottoman Empire vs. Albanians and Bosnians,Ottoman,Albania,Bosnia,,,,,,,
G65,Intra-state (civil) wars,First Gansu Muslim War of 1895-1896,Civil war - over local issues: China vs. Gansu Muslims,China,,,,,,,,,
G65,Intra-state (civil) wars,Belgian Independence War of 1830,Civil war - over local issues: Netherlands vs. Belgium,Netherlands,Belgium,,,,,,,,
G65,Intra-state (civil) wars,Armenian Hunchak Uprising of 1895-1896,Civil war - over local issues: Ottoman Empire vs. Hunchaks,Ottoman,,,,,,,,,
G65,Intra-state (civil) wars,First Polish War of 1831,Civil war - over local issues: Russia vs. Poland,Russia,Poland,,,,,,,,
G65,Intra-state (civil) wars,First Syrian War of 1831-1832,Civil war - over local issues: Ottoman Empire vs. Egypt,Ottoman,Egypt,,,,,,,,
G65,Intra-state (civil) wars,Canudos Revolt of 1896-1897,Civil war - over local issues: Brazil vs. Conselhistas,Brazil,,,,,,,,,
G65,Intra-state (civil) wars,First South Sudan War of 1963-1972,"Civil war - over local issues: Sudan, Egypt vs. Anya Nya",Sudan,Egypt,,,,,,,,
G65,Intra-state (civil) wars,Second Yemeni Imamate Rebellion of 1898-1899,Civil war - over local issues: Ottoman Empire vs. Muhammad al-Mansur Loyalists,Ottoman,,,,,,,,,
G65,Intra-state (civil) wars,Second DRC War of 1964-1965,Civil war - over local issues: Democratic Republic of the Congo vs. Jeunesse,Democratic,,,,,,,,,
G65,Intra-state (civil) wars,Greater Chechnya Revolt of 1825-1826,Civil war - over local issues: Russia vs. Chechnya,Russia,,,,,,,,,
G65,Intra-state (civil) wars,Second Murid War of 1834,Civil war - over local issues: Russia vs. Murids,Russia,,,,,,,,,
G65,Intra-state (civil) wars,Cabanos Revolt of 1835-1837,Civil war - over local issues: Brazil vs. Cabanos,Brazil,,,,,,,,,
G65,Intra-state (civil) wars,Second Chechen War of 1999-2003,Civil war - over local issues: Russia vs. Chechen Rebels,Russia,,,,,,,,,
G65,Intra-state (civil) wars,Farroupilha War of 1835-1845,Civil war - over local issues: Brazil vs. Farrapos,Brazil,,,,,,,,,
G65,Intra-state (civil) wars,Texan War of 1835-1836,Civil war - over local issues: Mexico vs. Texas,Mexico,United States,,,,,,,,
G65,Intra-state (civil) wars,First Bosnian War of 1836,Civil war - over local issues: Ottoman Empire vs. Bosnians,Ottoman,Bosnia,,,,,,,,
G65,Intra-state (civil) wars,Third Murid War of 1836-1852,Civil war - over local issues: Russia vs. Murids,Russia,,,,,,,,,
G65,Intra-state (civil) wars,Sabinada Rebellion of 1837-1838,Civil war - over local issues: Brazil vs. Bahia Sabinada,Brazil,,,,,,,,,
G65,Intra-state (civil) wars,Biafra War of 1967-1970,Civil war - over local issues: Nigeria vs. Biafra,Nigeria,,,,,,,,,
G65,Intra-state (civil) wars,Cultural Revolution phase 2 of 1967-1968,Civil war - over local issues: China vs. Red Guards,China,,,,,,,,,
G65,Intra-state (civil) wars,Balaiada Revolt of 1838-1841,Civil war - over local issues: Brazil vs. Balaida Rebels,Brazil,,,,,,,,,
G65,Intra-state (civil) wars,Second Syrian War of 1839,Civil war - over local issues: Ottoman Empire vs. Egypt,Ottoman,Egypt,,,,,,,,
G65,Intra-state (civil) wars,First Waziristan War of 2004-2006,"Civil war - over local issues: United States, Pakistan vs. Waziri tribes",United States,Pakistan,,,,,,,,
G65,Intra-state (civil) wars,Miao Rebellion phase 2 of 1860-1872,Civil war - over local issues: China vs. Miao,China,,,,,,,,,
G65,Intra-state (civil) wars,Third Syrian War of 1840-1841,"Civil war - over local issues: United Kingdom, Ottoman Empire vs. Egypt",United Kingdom,Ottoman,Egypt,,,,,,,
G65,Intra-state (civil) wars,Hawran Druze Rebellion of 1910,Civil war - over local issues: Ottoman Empire vs. Druzes,Ottoman,,,,,,,,,
G65,Intra-state (civil) wars,Nish Uprising of 1841,Civil war - over local issues: Ottoman Empire vs. Nish,Ottoman,,,,,,,,,
G65,Intra-state (civil) wars,Second Bosnian War of 1841,Civil war - over local issues: Ottoman Empire vs. Bosnians,Ottoman,Bosnia,,,,,,,,
G65,Intra-state (civil) wars,First Philippine - Moro War of 1972-1981,Civil war - over local issues: Philippines vs. MNLF Moros,Philippines,,,,,,,,,
G65,Intra-state (civil) wars,Ethiopian Northern Resistance of 1928-1930,Civil war - over local issues: Ethiopia vs. Northern Resistance,Ethiopia,,,,,,,,,
G65,Intra-state (civil) wars,Karbala Revolt of 1842-1843,Civil war - over local issues: Ottoman Empire vs. Karbala Gangs,Ottoman,,,,,,,,,
G65,Intra-state (civil) wars,Second Nationalist Revolution of 1913,Civil war - over local issues: China vs. Republicans,China,,,,,,,,,
G65,Intra-state (civil) wars,Baluchi Separatists War of 1973-1977,Civil war - over local issues: Pakistan vs. Baluchi Rebels,Pakistan,,,,,,,,,
G65,Intra-state (civil) wars,China Pai Ling (White Wolf) War of 1914,Civil war - over local issues: China vs. Pai-Lings,China,,,,,,,,,
G65,Intra-state (civil) wars,Sahil Revolt of 1864-1865,Civil war - over local issues: Tunisia vs. Ghadam-led Rebels,Tunisia,,,,,,,,,
G65,Intra-state (civil) wars,Fourth Iraqi  Kurds War of 1974-1975,"Civil war - over local issues: Iraq vs. Iran, KDP-Barzani",Iraq,Iran,,,,,,,,
G65,Intra-state (civil) wars,Eritrean War of 1975-1979,"Civil war - over local issues: Cuba, Ethiopia vs. EPLF and ELF",Cuba,Ethiopia,,,,,,,,
G65,Intra-state (civil) wars,Russian Turkestan Revolt of 1916-1917,Civil war - over local issues: Russia vs. Kirghiz & Kazaks,Russia,,,,,,,,,
G65,Intra-state (civil) wars,North Mali War of 2012-2013,"Civil war - over local issues: France, Mali, Nigeria, Chad vs. Northern Opposition",France,Mali,Nigeria,Chad,,,,,,
G65,Intra-state (civil) wars,Milan Five Day Revolt of 1848,Civil war - over local issues: Austria vs. Milan Liberals,Austria,,,,,,,,,
G65,Intra-state (civil) wars,Mayan Caste War phase 2 of 1848-1855,Civil war - over local issues: Mexico vs. Mayans,Mexico,,,,,,,,,
G65,Intra-state (civil) wars,Hungarian War of 1848-1849,"Civil war - over local issues: Austria, Russia vs. Hungary",Austria,Russia,Hungary,,,,,,,
G65,Intra-state (civil) wars,Third Bosnian War of 1850-1851,Civil war - over local issues: Ottoman Empire vs. Bosnian and Montenegrin Beys,Ottoman,,,,,,,,,
G65,Intra-state (civil) wars,Aleppo Revolt of 1850,Civil war - over local issues: Ottoman Empire vs. Aleppo,Ottoman,,,,,,,,,
G65,Intra-state (civil) wars,East Timorese War phase 3 of 1976-1979,Civil war - over local issues: Indonesia vs. FRETILIN,Indonesia,,,,,,,,,
G65,Intra-state (civil) wars,Druze Rebellion of 1852,Civil war - over local issues: Ottoman Empire vs. Druze Alliance,Ottoman,,,,,,,,,
G65,Intra-state (civil) wars,First Turco-Montenegrin War of 1852-1853,Civil war - over local issues: Ottoman Empire vs. Montenegro and Hercegovina,Ottoman,Montenegro,Herzegovina,,,,,,,
G65,Intra-state (civil) wars,Donbas War of 2014-present,"Civil war - over local issues: Ukraine vs. Russia, Separatists",Ukraine,Russia,,,,,,,,
G65,Intra-state (civil) wars,Epirus Revolt of 1854,Civil war - over local issues: Ottoman Empire vs. Greek Nationalists,Ottoman,,,,,,,,,
G65,Intra-state (civil) wars,Greek Nationalists of Macedonia War of 1854,Civil war - over local issues: Ottoman Empire vs. Greek Nationalists in Macedonia,Ottoman,,,,,,,,,
G65,Intra-state (civil) wars,Green Rebellion of 1920-1921,Civil war - over local issues: Soviet Russian Republic vs. Tambov Peasants,Soviet,,,,,,,,,
G65,Intra-state (civil) wars,Bashmachi in Turketsan Revolt of 1920-1924,Civil war - over local issues: Soviet Russian Republic vs. Basmachi,Soviet,,,,,,,,,
G65,Intra-state (civil) wars,Libyan Insurrection of 1855-1856,Civil war - over local issues: Ottoman Empire vs. Libyan Rebels,Ottoman,,,,,,,,,
G65,Intra-state (civil) wars,Simko Rebellion of 1921-1922,Civil war - over local issues: Iran vs. Shikak Kurds,Iran,,,,,,,,,
G65,Intra-state (civil) wars,Second Entre Rios War of 1873,Civil war - over local issues: Argentina vs. Entre Rios,Argentina,,,,,,,,,
G65,Intra-state (civil) wars,Catonalist Uprising of 1873-1874,Civil war - over local issues: Spain vs. Cantons,Spain,,,,,,,,,
G65,Intra-state (civil) wars,Second Turco-Montenegrin War of 1858,Civil war - over local issues: Ottoman Empire vs. Montenegro,Ottoman,Montenegro,,,,,,,,
G65,Intra-state (civil) wars,Chad - FAN War of 1980-1984,"Civil war - over local issues: Chad, Libya vs. France, Zaire, FAN",Chad,Libya,France,Democratic Republic of Congo,,,,,,
G65,Intra-state (civil) wars,Nigeria - Muslim War of 1980-1981,Civil war - over local issues: Nigeria vs. Al Masifu Sect,Nigeria,,,,,,,,,
G65,Intra-state (civil) wars,Defeat of Xinjiang Muslims of 1876-1878,Civil war - over local issues: China vs. Xinjiang Muslims,China,,,,,,,,,
G65,Intra-state (civil) wars,Kashmir Insurgency of 1992-2005,Civil war - over local issues: India vs. Kashmiri Guerillas,India,,,,,,,,,
G65,Intra-state (civil) wars,Tigrean & Eritrean War of 1982-1991,Civil war - over local issues: Ethiopia vs. TPLF & EPLF,Ethiopia,,,,,,,,,
G65,Intra-state (civil) wars,Second Nien Revolt  of 1860-1868,Civil war - over local issues: China vs. Nien Society,China,,,,,,,,,
G65,Intra-state (civil) wars,Argentine Indians War of 1878-1879,Civil war - over local issues: Argentina vs. Indians,Argentina,,,,,,,,,
G65,Intra-state (civil) wars,Panthay Rebellion phase 2 of 1860-1874,Civil war - over local issues: China vs. Hui Rebels,China,,,,,,,,,
G65,Intra-state (civil) wars,U.S. Civil War of 1861-1865,Civil war - over local issues: United States of America vs. Confederate States of America,United States,,,,,,,,,
G65,Intra-state (civil) wars,Mahdist Rebellion  phase 1 of 1881-1882,Civil war - over local issues: Egypt vs. Mahdists,Egypt,,,,,,,,,
G65,Intra-state (civil) wars,Third Turco-Montenegrin War of 1861-1862,Civil war - over local issues: Ottoman Empire vs. Montenegro and Hercegovina,Ottoman,Montenegro,Herzegovina,,,,,,,
G65,Intra-state (civil) wars,Tungan Rebellion of 1862-1873,Civil war - over local issues: China vs. Shaanxi and Gansu Muslims,China,,,,,,,,,
G65,Intra-state (civil) wars,Peru's National Problem of 1885,Civil war - over local issues: Peru vs. Huarez Indians,Peru,,,,,,,,,
G65,Intra-state (civil) wars,First Turkish Kurds War of 1984-1986,Civil war - over local issues: Turkey vs. PKK,Turkey,,,,,,,,,
G65,Intra-state (civil) wars,Second Polish War of 1863-1864,Civil war - over local issues: Russia vs. Polish nationalists,Russia,,,,,,,,,
G65,Intra-state (civil) wars,South Yemeni Secessionist Revolt of 1994,Civil war - over local issues: Yemen vs. South Yemen,Yemen,,,,,,,,,
G65,Intra-state (civil) wars,Bandit War of 1863,Civil war - over local issues: Italy vs. Sicilian Bandits,Italy,,,,,,,,,
G65,Intra-state (civil) wars,Second Sri Lanka Tamil War of 1990-2001,Civil war - over local issues: Sri Lanka vs. LTTE,Sri,,,,,,,,,
G65,Intra-state (civil) wars,Xinjiang Muslim Revolt of 1864-1866,Civil war - over local issues: China vs. Xinjiang Muslims,China,,,,,,,,,
G65,Intra-state (civil) wars,Campaign Against Ibrahim Beg of 1930-1931,Civil war - over local issues: Afghanistan vs. Army of Islam,Afghanistan,,,,,,,,,
G65,Intra-state (civil) wars,Tonghak Rebellion phase 1 of 1894,"Civil war - over local issues: China, Korea vs. Tonghak Society",China,,,,,,,,,
G65,Intra-state (civil) wars,First Cretan War of 1866-1868,Civil war - over local issues: Ottoman Empire vs. Cretans,Ottoman,,,,,,,,,
G65,Intra-state (civil) wars,Yellow Cliff Revolt of 1866,Civil war - over local issues: China vs. Zhang Jizhong-led Rebels,China,,,,,,,,,
G65,Intra-state (civil) wars,Second Laotian War of 1976-1979,"Civil war - over local issues: Laos, Vietnam vs. Chao Fa Rebels",Laos,Vietnam,,,,,,,,
G65,Intra-state (civil) wars,Mongolian Armed Uprising of 1932,"Civil war - over local issues: USSR, Mongolia vs. Buddhist Rebels",USSR,Mongolia,,,,,,,,
G65,Intra-state (civil) wars,Punjab Rebellion of 1989-1993,Civil war - over local issues: India vs. Sikh Guerillas,India,,,,,,,,,
G65,Intra-state (civil) wars,First Iraqi Kurds War of 1961-1963,"Civil war - over local issues: Iraq, Syria vs. Kurds",Iraq,Syria,,,,,,,,
G65,Intra-state (civil) wars,Second Cretan War of 1896-1897,Civil war - over local issues: Ottoman Empire vs. Cretans,Ottoman,,,,,,,,,
G65,Intra-state (civil) wars,Kosovo Independence War of 1998-1999,Civil war - over local issues: Yugoslavia vs. Kosovo,Yugoslavia,Kosovo,,,,,,,,
G65,Intra-state (civil) wars,First Aceh War of 1990-1991,Civil war - over local issues: Indonesia vs. GAM,Indonesia,,,,,,,,,
G65,Intra-state (civil) wars,Taiwan Revolt of 1947,Civil war - over local issues: China vs. Taiwanese,China,Taiwan,,,,,,,,
G65,Intra-state (civil) wars,Dersim Revolt of 1937-1938,Civil war - over local issues: Turkey vs. Dersim Kurds,Turkey,,,,,,,,,
G65,Intra-state (civil) wars,First Entre Rios War of 1870-1871,Civil war - over local issues: Argentina vs. Entre Rios,Argentina,,,,,,,,,
G65,Intra-state (civil) wars,Weyane Rebellion of 1943,Civil war - over local issues: Ethiopia vs. Weyane Rebels,Ethiopia,,,,,,,,,
G65,Intra-state (civil) wars,Ili Uprising of 1944-1945,Civil war - over local issues: China vs. East Turkestan Republic,China,,,,,,,,,
G65,Intra-state (civil) wars,Croatian Independence War of 1991-1992,Civil war - over local issues: Yugoslavia vs. Croatia,Yugoslavia,Croatia,,,,,,,,
G65,Intra-state (civil) wars,Turkey-PKK War of 1991-1999,Civil war - over local issues: Turkey vs. Kurds,Turkey,,,,,,,,,
G65,Intra-state (civil) wars,Third Yemeni Imamate Rebellion of 1902-1906,Civil war - over local issues: Ottoman Empire vs. Zaidi Imamate,Ottoman,,,,,,,,,
G65,Intra-state (civil) wars,Ilinden War of 1902-1903,Civil war - over local issues: Ottoman Empire vs. IMRO,Ottoman,,,,,,,,,
G65,Intra-state (civil) wars,Forest Brethren War of 1945-1949,Civil war - over local issues: USSR vs. Baltic Partisans,USSR,,,,,,,,,
G65,Intra-state (civil) wars,Bosnia and Bulgaria Revolt of 1875-1876,Civil war - over local issues: Ottoman Empire vs. Bosnia-Herzegovina and Bulgaria,Ottoman,Bosnia-Herzegovina,Bulgaria,,,,,,,
G65,Intra-state (civil) wars,Nagorno-Karabakh War of 1991-1993,"Civil war - over local issues: Azerbaijan vs. Armenia, Nagorno-Karabakh",Azerbaijan,Armenia,,,,,,,,
G65,Intra-state (civil) wars,Fifth Iraqi  Kurds War of 1985-1988,"Civil war - over local issues: Iraq vs. Iran, Kurds",Iraq,Iran,,,,,,,,
G65,Intra-state (civil) wars,Tibetan Khamba Rebellion of 1956-1959,Civil war - over local issues: China vs. Khamba Tibetans,China,,,,,,,,,
G65,Intra-state (civil) wars,Third Philippine-Moro War of 2003,Civil war - over local issues: Philippines vs. MILF & ASG,Philippines,,,,,,,,,
G65,Intra-state (civil) wars,Asir-Yemen Revolt of 1909-1911,Civil war - over local issues: Ottoman Empire vs. Asir and Yemen Rebels,Ottoman,,,,,,,,,
G65,Intra-state (civil) wars,Shaikh Said's Rebellion of 1925,Civil war - over local issues: Turkey vs. Zaza Kurds,Turkey,,,,,,,,,
G65,Intra-state (civil) wars,Bosnian-Serb Rebellion of 1992-1995,"Civil war - over local issues: United States, Croatia, Bosnia vs. Croatia, Bosnian Serbs",United States,Croatia,Bosnia,Croatia,,,,,,
G65,Intra-state (civil) wars,Fourth Buenos Aires War of 1880,Civil war - over local issues: Argentina vs. Buenos Aires,Argentina,,,,,,,,,
G65,Intra-state (civil) wars,Pakistan - Bengal War of 1971,"Civil war - over local issues: Pakistan vs. India, Bengalis",Pakistan,India,,,,,,,,
G65,Intra-state (civil) wars,South Moluccas War of 1950,Civil war - over local issues: Indonesia vs. Republik Maluku Selan,Indonesia,,,,,,,,,
G65,Intra-state (civil) wars,Third Sri Lanka Tamil War of 2006-2009,Civil war - over local issues: Sri Lanka vs. LTTE,Sri,,,,,,,,,
G65,Intra-state (civil) wars,Second Gansu Muslim Revolt of 1928-1929,Civil war - over local issues: China vs. Gansu Muslims,China,,,,,,,,,
G65,Intra-state (civil) wars,Indian Golden Temple War of 1984,Civil war - over local issues: India vs. Sikh Rebels,India,,,,,,,,,
G65,Intra-state (civil) wars,Cuban Black Uprising of 1912,Civil war - over local issues: Cuba vs. Partido Independiente de Color,Cuba,,,,,,,,,
G65,Intra-state (civil) wars,First West Papua War of 1967-1968,Civil war - over local issues: Indonesia vs. OPM,Indonesia,,,,,,,,,
G65,Intra-state (civil) wars,First Ogaden War of 1963-1964,"Civil war - over local issues: Ethiopia vs. Somalia, OLF",Ethiopia,Somalia,,,,,,,,
G65,Intra-state (civil) wars,Second West Papua War of 1977-1978,Civil war - over local issues: Indonesia vs. OPM,Indonesia,,,,,,,,,
G65,Intra-state (civil) wars,Dhofar Rebellion phase 2 of 1973-1975,"Civil war - over local issues: United Kingdom, Iran, Oman vs. PFLOAG",United Kingdom,Iran,Oman,,,,,,,
G65,Intra-state (civil) wars,Second Ogaden War phase 3 of 1978-1980,"Civil war - over local issues: Cuba, Ethiopia vs. Somalia, Ogaden Independence Movement",Cuba,Ethiopia,Somalia,,,,,,,
G65,Intra-state (civil) wars,Second Yaqui War of 1899-1900,Civil war - over local issues: Mexico vs. Yaqui,Mexico,,,,,,,,,
G65,Intra-state (civil) wars,Kachin Rebellion of 2011-2013,Civil war - over local issues: Myanmar vs. KIA,Myanmar,,,,,,,,,
G65,Intra-state (civil) wars,Xinjiang Revolt of 1932-1933,Civil war - over local issues: China vs. Xinjiang,China,,,,,,,,,
G65,Intra-state (civil) wars,Xinjiang Revolt of 1932-1934,Civil war - over local issues:  vs. USSR,USSR,,,,,,,,,
G65,Intra-state (civil) wars,Southern China Revolt of 1917-1918,Civil war - over local issues: China vs. CPA,China,,,,,,,,,
G65,Intra-state (civil) wars,Druze Rebellion of 1895-1896,Civil war - over local issues: Ottoman Empire vs. Druzes,Ottoman,,,,,,,,,
G65,Intra-state (civil) wars,Second Ogaden War phase 1 of 1976-1977,"Civil war - over local issues: Ethiopia vs. Somalia, WSLF",Ethiopia,Somalia,,,,,,,,
G65,Intra-state (civil) wars,Saudi Revolt of 1904,Civil war - over local issues: Ottoman Empire vs. Ibn Saud-led Rebels,Ottoman,,,,,,,,,
G65,Intra-state (civil) wars,Ararat Revolt of  1930,Civil war - over local issues: Turkey vs. Kurds,Turkey,,,,,,,,,
G65,Intra-state (civil) wars,Second Waziristan War of 2007-present,"Civil war - over local issues: United States, Pakistan vs. Taliban",United States,Pakistan,,,,,,,,
G65,Intra-state (civil) wars,Second Aceh War of 1999-2004,Civil war - over local issues: Indonesia vs. GAM,Indonesia,,,,,,,,,
G65,Intra-state (civil) wars,Dniestrian Independence War of 1991-1992,"Civil war - over local issues: Moldova vs. USSR, Dniestria",Moldova,USSR,,,,,,,,
G65,Intra-state (civil) wars,Second Iraqi Kurds War of 1965-1966,Civil war - over local issues: Iraq vs. KDP Factions,Iraq,,,,,,,,,
G65,Intra-state (civil) wars,Third Iraqi Kurds War of 1968-1970,Civil war - over local issues: Iraq vs. KDP-Barzani,Iraq,,,,,,,,,
G65,Intra-state (civil) wars,Polish Ukrainians War of 1945-1947,"Civil war - over local issues: Poland, USSR vs. UPA",Poland,USSR,,,,,,,,
G65,Intra-state (civil) wars,Quintana Roo War of 1899-1901,Civil war - over local issues: Mexico vs. Mayan Cruzob,Mexico,,,,,,,,,
G65,Intra-state (civil) wars,First Sri Lanka Tamil War of 1983-1987,Civil war - over local issues: Sri Lanka vs. Tamil Rebels,Sri,,,,,,,,,
G65,Intra-state (civil) wars,Oromo Liberation War of 1999,Civil war - over local issues: Ethiopia vs. OLF,Ethiopia,,,,,,,,,
G65,Intra-state (civil) wars,Bougainville Secessionist War of 1990-1991,Civil war - over local issues: Papua New Guinea vs. BRA,Papua,,,,,,,,,
G65,Intra-state (civil) wars,Ukrainian Partisans War of 1945-1947,Civil war - over local issues: USSR vs. UPA,USSR,,,,,,,,,
G65,Intra-state (civil) wars,Second Albanian Revolt of 1910-1912,Civil war - over local issues: Ottoman Empire vs. Albanians,Ottoman,,,,,,,,,
G65,Intra-state (civil) wars,First DRC War of 1960-1963,"Civil war - over local issues: Democratic Republic of the Congo vs. Belgium, Anti-Lumumba Coalition",Democratic Republic of the Congo,Belgium,,,,,,,,
